,Sources,Destinations
0,124-69-215-71,^124-69-215-8
1,124-69-215-106,^124-69-215-8
2,124-69-215-145,^124-69-215-8
3,124-69-215-71,^124-69-215-8
4,124-69-215-106,^124-69-215-8
5,124-69-215-145,^124-69-215-8
6,124-69-215-71,^124-69-215-8
7,124-69-215-106,^124-69-215-8
8,124-69-215-145,^124-69-215-8
9,124-69-215-71,^124-69-215-106
10,124-69-215-8,^124-69-215-106
11,124-69-215-145,^124-69-215-106
12,124-69-215-71,^124-69-215-106
13,124-69-215-8,^124-69-215-106
14,124-69-215-145,^124-69-215-106
15,124-69-215-71,^124-69-215-106
16,124-69-215-8,^124-69-215-106
17,124-69-215-145,^124-69-215-106
18,124-69-215-71,^124-69-215-145
19,124-69-215-8,^124-69-215-145
20,124-69-215-106,^124-69-215-145
21,124-69-215-71,^124-69-215-145
22,124-69-215-8,^124-69-215-145
23,124-69-215-106,^124-69-215-145
24,124-69-215-71,^124-69-215-145
25,124-69-215-8,^124-69-215-145
26,124-69-215-106,^124-69-215-145
27,124-69-215-106,^124-69-215-71
28,124-69-215-8,^124-69-215-71
29,124-69-215-145,^124-69-215-71
30,124-69-215-106,^124-69-215-71
31,124-69-215-8,^124-69-215-71
32,124-69-215-145,^124-69-215-71
33,124-69-215-106,^124-69-215-71
34,124-69-215-8,^124-69-215-71
35,124-69-215-145,^124-69-215-71
36,124-69-215-106,^124-69-215-71
37,124-69-215-8,^124-69-215-71
38,124-69-215-145,^124-69-215-71
39,124-69-215-106,^124-69-215-71
40,124-69-215-8,^124-69-215-71
41,124-69-215-145,^124-69-215-71
42,124-69-215-106,^124-69-215-71
43,124-69-215-8,^124-69-215-71
44,124-69-215-145,^124-69-215-71
45,124-69-215-106,^124-69-215-71
46,124-69-215-8,^124-69-215-71
47,124-69-215-145,^124-69-215-71
48,124-69-215-106,^124-69-215-71
49,124-69-215-8,^124-69-215-71
50,124-69-215-145,^124-69-215-71
51,124-69-215-106,^124-69-215-71
52,124-69-215-8,^124-69-215-71
53,124-69-215-145,^124-69-215-71
54,124-69-215-106,^124-69-215-71
55,124-69-215-8,^124-69-215-71
56,124-69-215-145,^124-69-215-71
57,124-69-215-106,^124-69-215-71
58,124-69-215-8,^124-69-215-71
59,124-69-215-145,^124-69-215-71
60,124-69-215-106,^124-69-215-71
61,124-69-215-8,^124-69-215-71
62,124-69-215-145,^124-69-215-71
63,124-69-215-106,^124-69-215-71
64,124-69-215-8,^124-69-215-71
65,124-69-215-145,^124-69-215-71
66,124-69-215-106,^124-69-215-71
67,124-69-215-8,^124-69-215-71
68,124-69-215-145,^124-69-215-71
69,124-69-215-106,^124-69-215-71
70,124-69-215-8,^124-69-215-71
71,124-69-215-145,^124-69-215-71
72,124-69-215-106,^124-69-215-71
73,124-69-215-8,^124-69-215-71
74,124-69-215-145,^124-69-215-71
75,124-69-215-106,^124-69-215-71
76,124-69-215-8,^124-69-215-71
77,124-69-215-145,^124-69-215-71
78,124-69-215-106,^124-69-215-71
79,124-69-215-8,^124-69-215-71
80,124-69-215-145,^124-69-215-71
81,124-69-215-106,^124-69-215-71
82,124-69-215-8,^124-69-215-71
83,124-69-215-145,^124-69-215-71
84,124-69-215-106,^124-69-215-71
85,124-69-215-8,^124-69-215-71
86,124-69-215-145,^124-69-215-71
87,124-69-215-106,^124-69-215-71
88,124-69-215-8,^124-69-215-71
89,124-69-215-145,^124-69-215-71
90,124-69-215-106,^124-69-215-71
91,124-69-215-8,^124-69-215-71
92,124-69-215-145,^124-69-215-71
93,124-69-215-106,^124-69-215-71
94,124-69-215-8,^124-69-215-71
95,124-69-215-145,^124-69-215-71
96,124-69-215-106,^124-69-215-71
97,124-69-215-8,^124-69-215-71
98,124-69-215-145,^124-69-215-71
99,124-69-215-106,^124-69-215-71
100,124-69-215-8,^124-69-215-71
101,124-69-215-145,^124-69-215-71
102,124-69-215-106,^124-69-215-71
103,124-69-215-8,^124-69-215-71
104,124-69-215-145,^124-69-215-71
105,124-69-215-106,^124-69-215-71
106,124-69-215-8,^124-69-215-71
107,124-69-215-145,^124-69-215-71
108,124-69-215-106,^124-69-215-71
109,124-69-215-8,^124-69-215-71
110,124-69-215-145,^124-69-215-71
111,124-69-215-106,^124-69-215-71
112,124-69-215-8,^124-69-215-71
113,124-69-215-145,^124-69-215-71
114,124-69-215-106,^124-69-215-71
115,124-69-215-8,^124-69-215-71
116,124-69-215-145,^124-69-215-71
117,124-69-215-106,^124-69-215-71
118,124-69-215-8,^124-69-215-71
119,124-69-215-145,^124-69-215-71
120,124-69-215-106,^124-69-215-71
121,124-69-215-8,^124-69-215-71
122,124-69-215-145,^124-69-215-71
123,124-69-215-106,^124-69-215-71
124,124-69-215-8,^124-69-215-71
125,124-69-215-145,^124-69-215-71
126,124-69-215-106,^124-69-215-71
127,124-69-215-8,^124-69-215-71
128,124-69-215-145,^124-69-215-71
129,124-69-215-106,^124-69-215-71
130,124-69-215-8,^124-69-215-71
131,124-69-215-145,^124-69-215-71
132,124-69-215-106,^124-69-215-71
133,124-69-215-8,^124-69-215-71
134,124-69-215-145,^124-69-215-71
135,124-69-215-106,^124-69-215-71
136,124-69-215-8,^124-69-215-71
137,124-69-215-145,^124-69-215-71
138,124-69-215-106,^124-69-215-71
139,124-69-215-8,^124-69-215-71
140,124-69-215-145,^124-69-215-71
141,124-69-215-106,^124-69-215-71
142,124-69-215-8,^124-69-215-71
143,124-69-215-145,^124-69-215-71
144,124-69-215-106,^124-69-215-71
145,124-69-215-8,^124-69-215-71
146,124-69-215-145,^124-69-215-71
147,124-69-215-106,^124-69-215-71
148,124-69-215-8,^124-69-215-71
149,124-69-215-145,^124-69-215-71
150,124-69-215-106,^124-69-215-71
151,124-69-215-8,^124-69-215-71
152,124-69-215-145,^124-69-215-71
153,124-69-215-106,^124-69-215-71
154,124-69-215-8,^124-69-215-71
155,124-69-215-145,^124-69-215-71
156,124-69-215-106,^124-69-215-71
157,124-69-215-8,^124-69-215-71
158,124-69-215-145,^124-69-215-71
159,124-69-215-106,^124-69-215-71
160,124-69-215-8,^124-69-215-71
161,124-69-215-145,^124-69-215-71
162,124-69-215-106,^124-69-215-71
163,124-69-215-8,^124-69-215-71
164,124-69-215-145,^124-69-215-71
165,124-69-215-106,^124-69-215-71
166,124-69-215-8,^124-69-215-71
167,124-69-215-145,^124-69-215-71
168,124-69-215-106,^124-69-215-71
169,124-69-215-8,^124-69-215-71
170,124-69-215-145,^124-69-215-71
171,124-69-215-106,^124-69-215-71
172,124-69-215-8,^124-69-215-71
173,124-69-215-145,^124-69-215-71
174,124-69-215-106,^124-69-215-71
175,124-69-215-8,^124-69-215-71
176,124-69-215-145,^124-69-215-71
177,124-69-215-106,^124-69-215-71
178,124-69-215-8,^124-69-215-71
179,124-69-215-145,^124-69-215-71
180,124-69-215-106,^124-69-215-71
181,124-69-215-8,^124-69-215-71
182,124-69-215-145,^124-69-215-71
183,124-69-215-106,^124-69-215-71
184,124-69-215-8,^124-69-215-71
185,124-69-215-145,^124-69-215-71
186,124-69-215-106,^124-69-215-71
187,124-69-215-8,^124-69-215-71
188,124-69-215-145,^124-69-215-71
189,124-69-215-106,^124-69-215-71
190,124-69-215-8,^124-69-215-71
191,124-69-215-145,^124-69-215-71
192,124-69-215-106,^124-69-215-71
193,124-69-215-8,^124-69-215-71
194,124-69-215-145,^124-69-215-71
195,124-69-215-106,^124-69-215-71
196,124-69-215-8,^124-69-215-71
197,124-69-215-145,^124-69-215-71
198,124-69-215-106,^124-69-215-71
199,124-69-215-8,^124-69-215-71
200,124-69-215-145,^124-69-215-71
201,124-69-215-106,^124-69-215-71
202,124-69-215-8,^124-69-215-71
203,124-69-215-145,^124-69-215-71
204,124-69-215-106,^124-69-215-71
205,124-69-215-8,^124-69-215-71
206,124-69-215-145,^124-69-215-71
207,124-69-215-106,^124-69-215-71
208,124-69-215-8,^124-69-215-71
209,124-69-215-145,^124-69-215-71
210,124-69-215-106,^124-69-215-71
211,124-69-215-8,^124-69-215-71
212,124-69-215-145,^124-69-215-71
213,124-69-215-71,^124-69-215-106
214,124-69-215-8,^124-69-215-106
215,124-69-215-145,^124-69-215-106
216,124-69-215-8,^124-69-215-71
217,124-69-215-106,^124-69-215-71
218,124-69-215-145,^124-69-215-71
219,124-69-215-71,^124-69-215-8
220,124-69-215-106,^124-69-215-8
221,124-69-215-145,^124-69-215-8
222,124-69-215-71,^124-69-215-145
223,124-69-215-8,^124-69-215-145
224,124-69-215-106,^124-69-215-145
225,124-69-215-8,^124-69-215-71
226,124-69-215-106,^124-69-215-71
227,124-69-215-145,^124-69-215-71
228,124-69-215-8,^124-69-215-71
229,124-69-215-106,^124-69-215-71
230,124-69-215-145,^124-69-215-71
231,124-69-215-8,^124-69-215-71
232,124-69-215-106,^124-69-215-71
233,124-69-215-145,^124-69-215-71
234,124-69-215-145,^124-69-215-8
235,124-69-215-71,^124-69-215-8
236,124-69-215-145,^124-69-215-8
237,124-69-215-106,^124-69-215-8
238,124-69-215-106,^124-69-215-8
239,124-69-215-145,^124-69-215-8
240,124-69-215-71,^124-69-215-8
241,124-69-215-145,^124-69-215-8
242,124-69-215-106,^124-69-215-8
243,124-69-215-106,^124-69-215-8
244,124-69-215-145,^124-69-215-8
245,124-69-215-71,^124-69-215-8
246,124-69-215-145,^124-69-215-8
247,124-69-215-106,^124-69-215-8
248,124-69-215-106,^124-69-215-8
249,124-69-215-145,^124-69-215-106
250,124-69-215-71,^124-69-215-106
251,124-69-215-145,^124-69-215-106
252,124-69-215-8,^124-69-215-106
253,124-69-215-71,^124-69-215-106
254,124-69-215-145,^124-69-215-106
255,124-69-215-8,^124-69-215-106
256,124-69-215-145,^124-69-215-106
257,124-69-215-71,^124-69-215-106
258,124-69-215-145,^124-69-215-106
259,124-69-215-8,^124-69-215-106
260,124-69-215-71,^124-69-215-106
261,124-69-215-145,^124-69-215-106
262,124-69-215-8,^124-69-215-106
263,124-69-215-145,^124-69-215-106
264,124-69-215-71,^124-69-215-106
265,124-69-215-145,^124-69-215-106
266,124-69-215-8,^124-69-215-106
267,124-69-215-71,^124-69-215-106
268,124-69-215-145,^124-69-215-106
269,124-69-215-8,^124-69-215-106
270,124-69-215-71,^124-69-215-145
271,124-69-215-106,^124-69-215-145
272,124-69-215-8,^124-69-215-145
273,124-69-215-71,^124-69-215-145
274,124-69-215-106,^124-69-215-145
275,124-69-215-8,^124-69-215-145
276,124-69-215-106,^124-69-215-145
277,124-69-215-71,^124-69-215-145
278,124-69-215-106,^124-69-215-145
279,124-69-215-8,^124-69-215-145
280,124-69-215-71,^124-69-215-145
281,124-69-215-106,^124-69-215-145
282,124-69-215-8,^124-69-215-145
283,124-69-215-106,^124-69-215-145
284,124-69-215-71,^124-69-215-145
285,124-69-215-106,^124-69-215-145
286,124-69-215-8,^124-69-215-145
287,124-69-215-71,^124-69-215-145
288,124-69-215-106,^124-69-215-145
289,124-69-215-8,^124-69-215-145
290,124-69-215-106,^124-69-215-145
291,124-69-215-145,^124-69-215-106
292,124-69-215-71,^124-69-215-106
293,124-69-215-145,^124-69-215-106
294,124-69-215-8,^124-69-215-106
295,124-69-215-71,^124-69-215-106
296,124-69-215-145,^124-69-215-106
297,124-69-215-8,^124-69-215-106
298,124-69-215-145,^124-69-215-71
299,124-69-215-145,^124-69-215-71
300,124-69-215-106,^124-69-215-71
301,124-69-215-8,^124-69-215-71
302,124-69-215-106,^124-69-215-71
303,124-69-215-145,^124-69-215-8
304,124-69-215-71,^124-69-215-8
305,124-69-215-145,^124-69-215-8
306,124-69-215-106,^124-69-215-8
307,124-69-215-106,^124-69-215-8
308,124-69-215-71,^124-69-215-145
309,124-69-215-106,^124-69-215-145
310,124-69-215-8,^124-69-215-145
311,124-69-215-71,^124-69-215-145
312,124-69-215-106,^124-69-215-145
313,124-69-215-8,^124-69-215-145
