prefix,fec
192.202.229.240/28,EquivalenceClass(192.202.229.240 - 192.202.229.255)
192.202.229.224/28,EquivalenceClass(192.202.229.224 - 192.202.229.239)
192.202.227.0/24,EquivalenceClass(192.202.227.0 - 192.202.227.255)
192.202.226.0/24,EquivalenceClass(192.202.226.0 - 192.202.226.255)
192.202.225.0/24,EquivalenceClass(192.202.225.0 - 192.202.225.255)
192.202.224.0/24,EquivalenceClass(192.202.224.0 - 192.202.224.255)
125.20.208.0/20,EquivalenceClass(125.20.208.0 - 125.20.255.255)
125.20.207.192/26,EquivalenceClass(125.20.207.192 - 125.20.207.255)
125.20.207.128/26,EquivalenceClass(125.20.207.128 - 125.20.207.191)
125.20.207.64/26,EquivalenceClass(125.20.207.64 - 125.20.207.127)
125.20.207.0/26,EquivalenceClass(125.20.207.0 - 125.20.207.63)
125.20.206.192/26,EquivalenceClass(125.20.206.192 - 125.20.206.255)
125.20.206.128/26,EquivalenceClass(125.20.206.128 - 125.20.206.191)
125.20.206.64/26,EquivalenceClass(125.20.206.64 - 125.20.206.127)
125.20.206.0/26,EquivalenceClass(125.20.206.0 - 125.20.206.63)
125.20.205.192/26,EquivalenceClass(125.20.205.192 - 125.20.205.255)
125.20.205.128/26,EquivalenceClass(125.20.205.128 - 125.20.205.191)
125.20.205.64/26,EquivalenceClass(125.20.205.64 - 125.20.205.127)
125.20.205.0/26,EquivalenceClass(125.20.205.0 - 125.20.205.63)
125.20.204.192/26,EquivalenceClass(125.20.204.192 - 125.20.204.255)
125.20.204.128/26,EquivalenceClass(125.20.204.128 - 125.20.204.191)
125.20.204.64/26,EquivalenceClass(125.20.204.64 - 125.20.204.127)
125.20.204.0/26,EquivalenceClass(125.20.204.0 - 125.20.204.63)
125.20.203.0/24,EquivalenceClass(125.20.203.0 - 125.20.203.255)
125.20.202.192/26,EquivalenceClass(125.20.202.192 - 125.20.202.255)
125.20.202.128/26,EquivalenceClass(125.20.202.128 - 125.20.202.191)
125.20.202.64/26,EquivalenceClass(125.20.202.64 - 125.20.202.127)
125.20.202.0/26,EquivalenceClass(125.20.202.0 - 125.20.202.63)
125.20.201.192/26,EquivalenceClass(125.20.201.192 - 125.20.201.255)
125.20.201.128/26,EquivalenceClass(125.20.201.128 - 125.20.201.191)
125.20.201.64/26,EquivalenceClass(125.20.201.64 - 125.20.201.127)
125.20.201.0/26,EquivalenceClass(125.20.201.0 - 125.20.201.63)
125.20.200.192/26,EquivalenceClass(125.20.200.192 - 125.20.200.255)
125.20.200.128/26,EquivalenceClass(125.20.200.128 - 125.20.200.191)
125.20.200.64/26,EquivalenceClass(125.20.200.64 - 125.20.200.127)
125.20.200.0/26,EquivalenceClass(125.20.200.0 - 125.20.200.63)
